                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71278,                 1.4755,                 2.3353,                 1.1816,                0.62962,                0.77119,                 0.7366,                0.50526,                 0.6227,                0.76271,                0.72372,                0.54784,                0.93211,                 1.8915,                 4.1044,                  1.341,             0.00064762,             0.00064762,             0.00064762
                      2,                 1.1677,                  2.076,                 2.4521,                 1.4984,                0.26582,                0.17797,                0.13972,                0.06711,                0.26582,                0.17797,                0.13109,                0.05753,                 1.4718,                 9.3751,                 83.119,                  2.299,              0.0012926,              0.0012926,              0.0012926
                      3,                 1.4828,                 2.5789,                 2.9069,                 1.7173,                0.00145,                0.25424,                0.00122,                0.00039,                0.00121,                0.21186,                0.00115,                0.00033,                 3.0835,                 24.966,                 900.16,                  5.451,              0.0019156,              0.0019156,              0.0019156
                      4,                 2.0128,                 2.6732,                 2.8736,                 2.1282,                0.03792,                0.12712,                0.02687,                0.00808,                0.03113,                0.10169,                0.01405,                0.00317,                 2.6506,                 18.017,                 19.197,                 3.5576,               0.001901,               0.001901,               0.001901
                      5,                 2.3016,                 3.5634,                 2.8747,                 2.3467,                0.01116,                 0.0678,                0.00867,                0.00333,                0.00976,                0.05932,                0.00775,                0.00262,                 2.5715,                 30.639,                 153.68,                  8.609,               0.001868,               0.001868,               0.001868
                      6,                 1.8304,                 2.7616,                 2.6847,                 2.0178,                0.00205,                0.35593,                0.00141,                0.00037,                0.00217,                0.35593,                 0.0015,                0.00056,                 3.1231,                 143.44,                 1249.9,                 54.327,               0.001835,               0.001835,               0.001835
                      7,                 1.6287,                 2.2459,                 2.4729,                 1.9911,                0.04688,                0.17797,                0.03564,                0.00905,                0.04831,                0.16949,                0.03386,                0.00941,                 2.9398,                 13.739,                 4.4991,                 10.293,               0.001802,               0.001802,               0.001802
                      8,                 1.6923,                 2.3266,                 2.3805,                 2.0176,                0.12583,                0.23729,                0.09162,                0.04081,                0.13033,                0.24576,                0.08733,                0.04263,                 2.1613,                 6.7841,                 8.2147,                 5.0889,               0.001769,               0.001769,               0.001769
                      9,                 1.6791,                 2.3599,                 2.2443,                 2.0058,                 0.0558,                0.52542,                0.05055,                0.01734,                0.05541,                 0.5339,                0.04943,                0.01926,                 2.2529,                 45.911,                 17.414,                 5.8499,               0.001736,               0.001736,               0.001736
                     10,                 1.5139,                  2.304,                 2.0757,                 1.8452,                0.01818,                0.16949,                0.01249,                0.00473,                 0.0205,                0.19492,                0.01245,                  0.005,                 2.6674,                 8.0251,                 30.893,                 4.2566,               0.001703,               0.001703,               0.001703
                     11,                 1.3505,                 1.7555,                 1.8777,                 1.6688,                0.05591,                0.13559,                0.03317,                0.01035,                0.06126,                0.14407,                0.04752,                0.01503,                 2.2277,                 3.8612,                 17.606,                 3.2817,                0.00167,                0.00167,                0.00167
                     12,                 1.3288,                 1.8439,                 1.8885,                 1.6795,                0.23953,                0.42373,                0.28031,                0.13376,                0.29653,                0.36441,                0.28834,                  0.124,                 1.4518,                 3.6741,                 8.5212,                 2.1486,               0.001637,               0.001637,               0.001637
                     13,                 1.2498,                 1.9676,                 1.8301,                 1.6184,                0.24338,                0.34076,                0.21566,                0.09468,                 0.2731,                0.20339,                0.16445,                0.06733,                 1.8673,                 4.8391,                 4.4453,                 2.4795,               0.001604,               0.001604,               0.001604
                     14,                 1.4298,                 2.1144,                 2.1603,                 1.7566,                0.31404,                 0.4322,                0.32801,                0.15536,                0.28495,                0.36441,                0.26594,                0.12603,                 1.5402,                 3.5309,                 2.3149,                 2.0422,               0.001571,               0.001571,               0.001571
                     15,                 1.3531,                 1.9528,                 2.0841,                 1.7428,                0.63001,                0.34634,                0.41591,                0.21885,                0.64193,                0.35593,                0.40008,                0.23394,                 1.3979,                 2.5113,                 2.2202,                 1.9463,               0.001538,               0.001538,               0.001538
                     16,                 1.2222,                 1.9618,                 1.9094,                 1.5329,                0.39695,                0.39607,                0.31307,                0.14544,                0.40323,                0.40084,                 0.3345,                0.19404,                 1.4721,                 2.4259,                 3.9138,                 2.0866,               0.001505,               0.001505,               0.001505
                     17,                 1.1907,                 1.8941,                 1.8391,                  1.538,                 0.4052,                 0.4661,                0.37336,                0.20776,                0.37652,                0.47458,                0.36066,                0.23844,                   1.39,                 2.7212,                 2.1028,                 1.8394,               0.001472,               0.001472,               0.001472
                     18,                 1.2201,                 1.6232,                 1.7754,                 1.6111,                0.46405,                0.53566,                0.46208,                0.24487,                0.43491,                    0.5,                0.43362,                0.26314,                 1.2205,                 1.9809,                 1.7953,                  1.696,               0.001439,               0.001439,               0.001439
                     19,                 1.1882,                 1.8906,                 1.7307,                 1.5189,                0.45187,                0.58685,                 0.4876,                0.26154,                0.43195,                0.55085,                0.47719,                0.28679,                 1.1791,                 1.9309,                 1.8205,                 1.6934,               0.001406,               0.001406,               0.001406
                     20,                 1.2045,                  1.675,                 1.7454,                 1.5723,                0.59896,                0.47458,                0.57147,                0.36204,                0.59896,                0.47458,                0.56048,                 0.3894,                 1.2018,                 1.9506,                 1.8287,                 1.7896,               0.001373,               0.001373,               0.001373
                     21,                 1.1862,                 1.6424,                 1.5829,                 1.5465,                0.59475,                 0.5678,                0.56596,                0.34418,                0.59475,                 0.5678,                0.55519,                0.36385,                 1.1225,                 2.1304,                 2.4264,                 1.6511,                0.00134,                0.00134,                0.00134
                     22,                 1.2316,                 1.8592,                 1.5698,                 1.5131,                0.72685,                 0.5678,                 0.6696,                0.39371,                0.72685,                 0.5678,                0.66117,                0.43817,                 1.2054,                 2.1792,                 1.9492,                 1.7592,               0.001307,               0.001307,               0.001307
                     23,                 1.1242,                 1.7497,                 1.5374,                  1.487,                0.66562,                0.62418,                0.66326,                0.42525,                0.68409,                0.64231,                0.67315,                0.46731,                 1.2068,                 1.9658,                 1.8775,                 1.7533,               0.001274,               0.001274,               0.001274
                     24,                 1.0621,                   1.46,                 1.3983,                 1.4041,                0.63869,                0.64407,                0.67599,                0.48824,                0.65376,                0.65609,                0.68439,                0.49399,                 1.0353,                 1.8181,                 1.4878,                 1.5055,               0.001241,               0.001241,               0.001241
                     25,                 1.0129,                 1.6718,                 1.3718,                 1.4363,                0.65592,                0.70339,                 0.6983,                0.47963,                0.67137,                0.72034,                0.70283,                0.48715,                  1.047,                 1.9102,                 1.3526,                 1.5159,               0.001208,               0.001208,               0.001208
                     26,                 1.0631,                 1.8629,                 1.4292,                 1.4675,                0.70982,                0.62712,                0.66671,                0.40296,                0.69144,                 0.6077,                0.63958,                0.31695,                 1.2935,                 3.4587,                 1.6567,                 1.7319,               0.001175,               0.001175,               0.001175
                     27,                 1.1114,                 1.5369,                 1.4335,                 1.4746,                0.62849,                0.64407,                0.67121,                0.45228,                0.61706,                0.60085,                0.64444,                0.45387,                 1.0672,                  1.966,                 1.4882,                 1.5097,               0.001142,               0.001142,               0.001142
                     28,                 1.0268,                 1.5497,                 1.3648,                 1.3603,                0.64627,                0.70339,                0.74243,                0.51871,                0.61635,                0.74884,                0.73992,                0.52594,                0.93813,                 1.6811,                 1.2921,                 1.3895,               0.001109,               0.001109,               0.001109
                     29,                0.99228,                 1.3236,                 1.2573,                  1.343,                0.72657,                0.65305,                0.74021,                0.54443,                0.65613,                0.72881,                0.73242,                0.54849,                0.93601,                 1.7274,                 1.2953,                  1.411,               0.001076,               0.001076,               0.001076
                     30,                 1.0518,                 1.6287,                 1.4063,                 1.4664,                0.78505,                0.65254,                0.75209,                0.56327,                0.79157,                0.66102,                0.75685,                0.58148,                 1.0126,                 2.1913,                 1.4179,                 1.4967,               0.001043,               0.001043,               0.001043
                     31,                0.96058,                 1.6794,                 1.2062,                 1.3462,                0.81056,                0.77966,                0.82743,                0.61769,                0.77558,                0.79079,                0.82473,                0.61342,                0.91191,                 1.6164,                 1.1248,                 1.3766,                0.00101,                0.00101,                0.00101
                     32,                0.93771,                 1.2772,                 1.2153,                 1.3551,                0.73916,                0.74576,                0.82055,                 0.6063,                0.74756,                0.75424,                0.82647,                0.60931,                0.87773,                 1.6084,                 1.1851,                 1.3901,               0.000977,               0.000977,               0.000977
                     33,                0.89932,                 1.4043,                 1.2328,                 1.3259,                0.83711,                0.71186,                0.81714,                  0.592,                0.84159,                0.72034,                0.82208,                0.60668,                0.85336,                 1.5829,                 1.0873,                 1.3779,               0.000944,               0.000944,               0.000944
                     34,                 0.8472,                 1.2567,                 1.1431,                  1.283,                0.80827,                0.78601,                0.84161,                0.60686,                0.80756,                0.78242,                0.84236,                0.63005,                0.82921,                 1.5277,                 1.0486,                 1.3365,               0.000911,               0.000911,               0.000911
                     35,                0.82383,                 1.0765,                 1.1114,                 1.2439,                0.77475,                 0.8453,                0.85977,                0.66504,                0.75829,                0.85593,                0.85615,                0.65879,                0.76259,                 1.4422,                 1.0204,                 1.2763,               0.000878,               0.000878,               0.000878
                     36,                0.81384,                   1.26,                 1.0338,                  1.289,                0.82091,                0.81576,                0.88485,                0.67426,                0.82185,                0.82103,                0.88532,                0.67993,                 0.7798,                 1.3529,                0.97627,                  1.255,               0.000845,               0.000845,               0.000845
                     37,                0.83419,                   1.35,                 1.0775,                 1.2571,                0.83125,                0.82203,                0.89998,                0.70613,                0.83125,                0.82203,                0.89998,                0.70565,                0.73717,                 1.2993,                0.95839,                 1.2396,               0.000812,               0.000812,               0.000812
                     38,                0.82111,                 1.0789,                 1.0581,                 1.2305,                0.81433,                0.83898,                 0.8954,                0.72304,                0.81433,                0.83898,                0.89675,                 0.7052,                0.70227,                  1.282,                0.94381,                 1.2271,               0.000779,               0.000779,               0.000779
                     39,                0.84678,                  1.132,                 1.0512,                 1.2919,                0.75813,                0.87661,                0.89176,                0.70439,                0.87089,                0.75424,                0.89314,                0.71004,                0.75577,                 1.2758,                0.96239,                 1.2549,               0.000746,               0.000746,               0.000746
                     40,                0.83753,                 1.3324,                 1.0531,                 1.2984,                0.84641,                0.79393,                0.88636,                0.70801,                0.84641,                0.79393,                0.88855,                0.70718,                0.73871,                 1.2885,                0.95061,                 1.2492,               0.000713,               0.000713,               0.000713
                     41,                0.75756,                  1.161,                 0.9509,                 1.1796,                0.81655,                0.84746,                0.88914,                0.70631,                0.81655,                0.84746,                0.88593,                0.72119,                0.72449,                 1.2241,                0.95164,                 1.2334,                0.00068,                0.00068,                0.00068
                     42,                0.84708,                 1.3062,                 1.0292,                  1.286,                0.87525,                0.83898,                0.88696,                0.72235,                0.86618,                0.83051,                0.88089,                0.72441,                 0.6715,                 1.1874,                0.89412,                 1.1833,               0.000647,               0.000647,               0.000647
                     43,                0.84837,                 1.4051,                 1.0443,                 1.2931,                 0.8556,                0.82203,                0.88737,                0.73756,                 0.8556,                0.82203,                0.88205,                0.73581,                0.65327,                 1.1704,                 0.8706,                 1.1716,               0.000614,               0.000614,               0.000614
                     44,                0.75374,                 1.1901,                0.96306,                 1.2101,                0.85444,                0.82203,                0.89257,                0.72914,                0.85444,                0.82203,                0.89355,                0.73183,                0.66949,                 1.1829,                0.87182,                 1.1698,               0.000581,               0.000581,               0.000581
                     45,                0.76532,                 1.0764,                0.92316,                 1.2094,                0.85798,                0.81917,                0.89819,                0.74045,                0.85798,                0.81917,                0.89971,                0.73546,                0.68223,                 1.1964,                0.87788,                 1.1675,               0.000548,               0.000548,               0.000548
                     46,                0.70092,                 1.0409,                0.89588,                 1.1753,                0.92914,                0.76271,                0.89699,                0.76058,                0.92914,                0.76271,                0.90163,                0.74426,                0.63533,                 1.2299,                0.84513,                 1.1486,               0.000515,               0.000515,               0.000515
                     47,                 0.7976,                 1.1025,                0.98848,                 1.2291,                0.88979,                0.83051,                0.91479,                0.75332,                0.90065,                0.83051,                0.91414,                0.76125,                0.69067,                  1.144,                0.82891,                 1.1983,               0.000482,               0.000482,               0.000482
                     48,                0.65003,                 1.0195,                0.81855,                 1.1292,                0.90405,                0.86441,                0.92167,                0.78745,                0.91291,                0.87288,                0.92323,                0.77997,                0.63088,                 1.1068,                0.78701,                 1.1553,               0.000449,               0.000449,               0.000449
                     49,                0.74051,                 1.2614,                 0.9337,                  1.217,                0.92512,                0.85593,                0.92142,                0.78686,                0.91506,                0.84746,                0.92327,                0.78018,                0.61315,                   1.09,                0.76045,                 1.1236,               0.000416,               0.000416,               0.000416
                     50,                0.72609,                 1.1217,                0.88065,                 1.1494,                0.91543,                0.82564,                0.92148,                0.77174,                0.90604,                0.81716,                0.91946,                0.77286,                0.63946,                 1.0936,                0.77621,                 1.1264,               0.000383,               0.000383,               0.000383
                     51,                0.64116,                 1.0668,                0.86092,                 1.1006,                0.89952,                0.83454,                0.91926,                0.77652,                0.89087,                0.83021,                0.91925,                0.77696,                0.63731,                 1.1118,                0.77661,                 1.1255,                0.00035,                0.00035,                0.00035
                     52,                0.81545,                 1.4028,                0.98855,                  1.278,                0.84795,                0.85071,                0.91393,                0.78888,                 0.8395,                0.84223,                0.91327,                 0.7755,                0.59006,                 1.0915,                 0.7844,                 1.0982,               0.000317,               0.000317,               0.000317
                     53,                0.67819,                 1.0284,                0.89108,                 1.2538,                0.85958,                0.83003,                0.90974,                0.79635,                0.85958,                0.83003,                0.90925,                0.77295,                0.57479,                 1.0339,                0.73833,                 1.0949,               0.000284,               0.000284,               0.000284
                     54,                0.64254,                0.95816,                0.81977,                 1.1617,                0.88878,                0.81271,                0.91423,                0.80552,                0.88878,                0.81271,                0.91145,                 0.7809,                0.54543,                 1.0225,                0.71268,                 1.0806,               0.000251,               0.000251,               0.000251
                     55,                0.70821,                 1.1115,                0.94387,                 1.2567,                0.84289,                0.84746,                0.91622,                0.82086,                0.84289,                0.84746,                0.91491,                 0.7842,                0.52682,                 1.0299,                0.70966,                 1.0716,               0.000218,               0.000218,               0.000218
                     56,                  0.709,                 1.0012,                0.89722,                 1.2955,                0.88473,                0.84559,                0.92356,                0.83588,                0.88473,                0.84559,                0.92082,                0.78844,                0.52231,                 1.0459,                0.70421,                 1.0645,               0.000185,               0.000185,               0.000185
                     57,                0.71706,                 1.0159,                0.85014,                 1.3029,                0.92339,                0.82203,                0.93032,                0.84271,                0.92339,                0.82203,                0.92782,                0.79485,                0.52004,                 1.0335,                0.68892,                 1.0622,               0.000152,               0.000152,               0.000152
                     58,                0.59398,                0.96713,                0.77853,                 1.1348,                 0.9388,                0.82203,                0.92659,                0.84164,                 0.9388,                0.82203,                0.92607,                0.79751,                0.51753,                 1.0534,                0.68993,                 1.0643,               0.000119,               0.000119,               0.000119
                     59,                0.63251,                0.96027,                 0.7771,                 1.1811,                 0.9417,                0.82126,                0.93108,                0.83912,                 0.9417,                0.82126,                0.93053,                0.79911,                0.50755,                 1.0367,                0.66756,                 1.0615,                8.6e-05,                8.6e-05,                8.6e-05
                     60,                0.60339,                 0.9579,                0.75666,                 1.2175,                0.94169,                0.80508,                0.92914,                0.83903,                0.94169,                0.80508,                0.92992,                0.79842,                0.50531,                 1.0294,                0.67181,                 1.0617,                5.3e-05,                5.3e-05,                5.3e-05
